Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),Price_1D,Change_1W,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score
11-09-2025,NSE:HMAAGRO,EQ,1514.83,2.63,3.01,30.89,-0.39,1.26,-7.61,-7.41,-47.72,-62.97,-0.77,-7.85,-18.92,-46.9,-61.35,0.9181228701411761,13
11-09-2025,NSE:MUKKA,EQ,799.8,4.18,4.11,28.79,3.02,6.18,-7.92,-20.63,-45.71,-58.01,4.15,-8.16,-32.14,-44.89,-56.39,0.9177650901237991,12
11-09-2025,NSE:BAJAJELEC,EQ,6563.25,1.02,2.55,585.85,2.23,3.01,-15.21,-3.55,-38.29,-71.36,0.98,-15.45,-15.06,-37.47,-69.74,0.9175712205909626,12
11-09-2025,NSE:UGARSUGAR,EQ,466.88,2.2,4.07,45.34,-0.84,8.73,-8.82,-4.30,-65.26,-87.27,6.7,-9.06,-15.81,-64.44,-85.65,0.9173683074778476,12
11-09-2025,NSE:ASHIMASYN,EQ,465.73,1.74,5.77,23.77,-3.07,-10.14,-19.44,8.71,-51.49,-32.48,-12.17,-19.68,-2.8,-50.67,-30.86,0.9170273797248373,12
11-09-2025,NSE:INOXWIND,EQ,23892.89,81.51,2.85,148.48,2.85,4.56,-17.21,-13.36,-38.54,-49.97,2.53,-17.45,-24.87,-37.72,-48.35,0.9166365413620161,12
11-09-2025,NSE:DWARKESH,EQ,728.42,7.06,3.22,42.17,-5.64,4.27,-18.50,3.30,-52.17,-70.86,2.24,-18.74,-8.21,-51.35,-69.24,0.9166052610951766,12
11-09-2025,NSE:EQUITASBNK,EQ,5738.1,35.02,2.88,54.23,2.95,1.00,-28.32,-9.28,-16.98,-52.39,-1.03,-28.56,-20.79,-16.16,-50.77,0.9164187699801503,12
11-09-2025,NSE:JWL,EQ,13465.08,44.51,3.48,333.45,2.53,0.88,-18.58,5.28,-50.65,-64.09,-1.15,-18.82,-6.23,-49.83,-62.47,0.9163608605579774,12
11-09-2025,NSE:AXITA,EQ,305.69,13.37,0.82,8.81,0.57,-0.34,-2.61,-14.07,-37.46,-86.95,-2.37,-2.85,-25.58,-36.64,-85.33,0.9155498834928619,12
11-09-2025,NSE:INDOWIND,EQ,213.55,1.73,5.02,17.13,-0.18,0.18,-23.76,-2.04,-43.67,-39.87,-1.85,-24,-13.55,-42.85,-38.25,0.9151759720000964,12
11-09-2025,NSE:SKYGOLD,EQ,4269.66,7.85,4.25,281.5,0.11,4.65,-31.49,-33.64,-51.31,1.71,2.62,-31.73,-45.15,-50.49,3.33,0.9144567995879678,12
11-09-2025,NSE:PRITIKAUTO,EQ,289.73,2.63,4.82,17.9,2.01,1.84,-5.14,-9.66,-59.61,-67.49,-0.19,-5.38,-21.17,-58.79,-65.87,0.9143183496459312,12
11-09-2025,NSE:RANASUG,EQ,218.07,2.31,3.14,14.42,-3.61,2.77,-19.35,-7.70,-40.78,-53.95,0.74,-19.59,-19.21,-39.96,-52.33,0.9141130393123237,12
11-09-2025,NSE:RAJRATAN,EQ,1563.75,1.26,4.01,344.25,9.02,3.11,-22.47,2.11,-44.52,-74.25,1.08,-22.71,-9.4,-43.7,-72.63,0.9127578253499969,11
11-09-2025,NSE:AEROENTER,EQ,978.3,1.03,2.73,86.26,-0.88,-12.54,-2.59,-9.30,-38.36,-57.00,-14.57,-2.83,-20.81,-37.54,-55.38,0.9126966455259575,11
11-09-2025,NSE:KPEL,EQ,2835.19,1.65,2.88,416.3,-1.75,-4.98,-27.88,6.67,-57.29,-30.90,-7.01,-28.12,-4.84,-56.47,-29.28,0.9122061984634249,11
11-09-2025,NSE:ESAFSFB,EQ,1488.28,2.45,2.22,29.25,0.17,-3.28,-11.49,-3.59,-42.43,-68.89,-5.31,-11.73,-15.1,-41.61,-67.27,0.9121765412665953,11
11-09-2025,NSE:PROTEAN,EQ,3507.42,17.77,4.42,895.95,-0.33,19.33,-6.44,-55.71,-71.33,-71.33,17.3,-6.68,-67.22,-70.51,-69.71,0.9121410612773114,11
11-09-2025,NSE:SIGACHI,EQ,1186.47,77.81,3.75,37.7,17.00,16.18,-52.39,-7.45,-43.85,-50.45,14.15,-52.63,-18.96,-43.03,-48.83,0.911987144296612,11
11-09-2025,NSE:TEXRAIL,EQ,5460.72,15.18,2.83,142.04,2.45,2.14,-17.57,-1.28,-59.36,-57.63,0.11,-17.81,-12.79,-58.54,-56.01,0.9116559213672992,11
11-09-2025,NSE:IREDA,EQ,39537.12,45.82,2.01,146.63,1.79,1.21,-19.72,-2.02,-51.27,-55.08,-0.82,-19.96,-13.53,-50.45,-53.46,0.9116316112841484,11
11-09-2025,NSE:DELTACORP,EQ,2268.02,69.88,5.38,82.88,-5.31,1.04,-11.02,-10.76,-49.86,-61.33,-0.99,-11.26,-22.27,-49.04,-59.71,0.9115092244574665,11
11-09-2025,NSE:JYOTICNC,EQ,20740.99,2.08,2.99,906.3,2.46,-0.67,-26.89,-6.66,-47.35,-27.86,-2.7,-27.13,-18.17,-46.53,-26.24,0.9114738091082156,11
